----------TEST-1------------
C0= 343901
C398 = 649819
C399 = 597432
C400 = 53538
C401 = 419733
C402 = 238848
C403 = 780175
C404 = 201469
C405 = 554212
C406 = 597782
C407 = 466696
C408 = 756847
C409 = 16706
C410 = 343901
--------T2--------
C0= 399383
C1 = 153874
C2 = 555623
C3 = 193207
C4 = 431671
C5 = 223488
C6 = 630888
C7 = 145512
C8 = 421737
C9 = 405958
C10 = 159537
C11 = 408314
C12 = 545720
C13 = 112945
C14 = 376416
C15 = 84376
C16 = 465369
C17 = 159931
C18 = 464402
C19 = 214579
C20 = 106648
C21 = 161333
C22 = 201542
C23 = 85916
C24 = 132457
C25 = 205931
C26 = 230421
C27 = 451312
C28 = 509398
C29 = 105812
C30 = 66141
C31 = 296832
C32 = 232992
C33 = 415304
C34 = 549697
C35 = 582493
C36 = 115731
C37 = 130499
C38 = 408821
C39 = 646873
C40 = 134316
C41 = 406580
C42 = 599927
C43 = 55270
C44 = 517731
C45 = 204164
C46 = 678124
C47 = 30659
C48 = 130684
C49 = 209104
C50 = 395546
C51 = 550193
C52 = 670040
C53 = 571675
C54 = 351154
C55 = 652954
C56 = 432293
C57 = 578906
C58 = 312112
C59 = 26307
C60 = 425148
C61 = 647019
C62 = 533312
C63 = 539736
C64 = 65112
C65 = 374052
C66 = 284056
C67 = 16669
C68 = 675831
C69 = 9815
C70 = 618115
C71 = 55619
C72 = 416493
C73 = 655231
C74 = 120566
C75 = 581773
C76 = 602053
C77 = 98170
C78 = 435446
C79 = 334270
C80 = 625225
C81 = 375428
C82 = 258592
C83 = 251193
C84 = 636991
C85 = 646312
C86 = 307276
C87 = 504995
C88 = 355163
C89 = 453078
C90 = 205573
C91 = 328725
C92 = 337591
C93 = 272122
C94 = 111798
C95 = 24853
C96 = 534338
C97 = 548169
C98 = 394824
C99 = 195792
C100 = 622307
C101 = 526503
C102 = 553793
C103 = 187114
C104 = 535285
C105 = 111305
C106 = 274204
C107 = 450510
C108 = 32989
C109 = 667956
C110 = 331813
C111 = 36531
C112 = 362030
C113 = 453377
C114 = 11375
C115 = 678884
C116 = 57943
C117 = 524105
C118 = 145806
C119 = 539794
C120 = 530563
C121 = 658100
C122 = 206012
C123 = 609472
C124 = 333651
C125 = 218686
C126 = 415902
C127 = 615831
C128 = 107801
C129 = 185712
C130 = 596778
C131 = 235156
C132 = 139113
C133 = 321518
C134 = 580181
C135 = 384278
C136 = 512957
C137 = 167042
C138 = 511181
C139 = 384143
C140 = 132922
C141 = 637457
C142 = 583977
C143 = 509278
C144 = 431613
C145 = 93218
C146 = 519188
C147 = 111211
C148 = 446137
C149 = 285775
C150 = 9358
C151 = 114827
C152 = 76913
C153 = 219187
C154 = 102282
C155 = 329799
C156 = 392229
C157 = 11547
C158 = 674767
C159 = 175623
C160 = 469887
C161 = 614139
C162 = 574435
C163 = 570647
C164 = 523389
C165 = 254775
C166 = 538543
C167 = 463078
C168 = 274142
C169 = 541223
C170 = 632820
C171 = 625289
C172 = 461391
C173 = 126384
C174 = 649137
C175 = 498733
C176 = 59423
C177 = 237865
C178 = 506928
C179 = 496398
C180 = 206637
C181 = 20635
C182 = 171156
C183 = 573839
C184 = 149613
C185 = 399217
C186 = 465501
C187 = 671997
C188 = 507909
C189 = 612002
C190 = 162687
